100001Pedido de Compra em 12/12/2019 com 10 itens201912121855270000143,00E
20020200019Item do Pedido 00019 e valor: R$ 5,00             0000005,00
20020300019Item do Pedido 00019 e valor: R$ 4,00             0000004,00
20020400019Item do Pedido 00019 e valor: R$ 4,00             0000004,00
20020500019Item do Pedido 00019 e valor: R$ 3,00             0000003,00
20020600019Item do Pedido 00019 e valor: R$ 0,00             0000000,00
20020700019Item do Pedido 00019 e valor: R$ 0,00             0000000,00
20020800019Item do Pedido 00019 e valor: R$ 0,00             0000000,00
20020900019Item do Pedido 00019 e valor: R$ 0,00             0000000,00
20021000019Item do Pedido 00019 e valor: R$ 0,00             0000000,00
100020Pedido de Compra em 03/12/2019 com 11 itens201912031855270000150,00E
20021100020Item do Pedido 00020 e valor: R$ 132,00           0000132,00
20021200020Item do Pedido 00020 e valor: R$ 16,00            0000016,00
20021300020Item do Pedido 00020 e valor: R$ 2,00             0000002,00
20021400020Item do Pedido 00020 e valor: R$ 0,00             0000000,00
20021500020Item do Pedido 00020 e valor: R$ 0,00             0000000,00
20021600020Item do Pedido 00020 e valor: R$ 0,00             0000000,00
20021700020Item do Pedido 00020 e valor: R$ 0,00             0000000,00
20021800020Item do Pedido 00020 e valor: R$ 0,00             0000000,00
20021900020Item do Pedido 00020 e valor: R$ 0,00             0000000,00
20022000020Item do Pedido 00020 e valor: R$ 0,00             0000000,00
20022100020Item do Pedido 00020 e valor: R$ 0,00             0000000,00
20022200020Item do Pedido 00020 e valor: R$ 0,00             0000000,00
100021Pedido de Compra em 03/12/2019 com 11 itens201912031855270000103,00E
20022300021Item do Pedido 00021 e valor: R$ 66,00            0000066,00
20022400021Item do Pedido 00021 e valor: R$ 16,00            0000016,00
20022500021Item do Pedido 00021 e valor: R$ 11,00            0000011,00
20022600021Item do Pedido 00021 e valor: R$ 9,00             0000009,00
20022700021Item do Pedido 00021 e valor: R$ 1,00             0000001,00
20022800021Item do Pedido 00021 e valor: R$ 0,00             0000000,00
20022900021Item do Pedido 00021 e valor: R$ 0,00             0000000,00
20023000021Item do Pedido 00021 e valor: R$ 0,00             0000000,00
20023100021Item do Pedido 00021 e valor: R$ 0,00             0000000,00
20023200021Item do Pedido 00021 e valor: R$ 0,00             0000000,00
20023300021Item do Pedido 00021 e valor: R$ 0,00             0000000,00
20023400021Item do Pedido 00021 e valor: R$ 0,00             0000000,00
100022Pedido de Compra em 03/12/2019 com 11 itens201912031855270000035,00E
20023500022Item do Pedido 00022 e valor: R$ 34,00            0000034,00
20023600022Item do Pedido 00022 e valor: R$ 1,00             0000001,00
20023700022Item do Pedido 00022 e valor: R$ 0,00             0000000,00
20023800022Item do Pedido 00022 e valor: R$ 0,00             0000000,00
20023900022Item do Pedido 00022 e valor: R$ 0,00             0000000,00
20024000022Item do Pedido 00022 e valor: R$ 0,00             0000000,00
20024100022Item do Pedido 00022 e valor: R$ 0,00             0000000,00
20024200022Item do Pedido 00022 e valor: R$ 0,00             0000000,00
20024300022Item do Pedido 00022 e valor: R$ 0,00             0000000,00
20024400022Item do Pedido 00022 e valor: R$ 0,00             0000000,00
20024500022Item do Pedido 00022 e valor: R$ 0,00             0000000,00
20024600022Item do Pedido 00022 e valor: R$ 0,00             0000000,00
100023Pedido de Compra em 03/12/2019 com 11 itens201912031855270000078,00E
20024700023Item do Pedido 00023 e valor: R$ 78,00            0000078,00
20024800023Item do Pedido 00023 e valor: R$ 0,00             0000000,00
20024900023Item do Pedido 00023 e valor: R$ 0,00             0000000,00
20025000023Item do Pedido 00023 e valor: R$ 0,00             0000000,00
20025100023Item do Pedido 00023 e valor: R$ 0,00             0000000,00
20025200023Item do Pedido 00023 e valor: R$ 0,00             0000000,00
20025300023Item do Pedido 00023 e valor: R$ 0,00             0000000,00
20025400023Item do Pedido 00023 e valor: R$ 0,00             0000000,00
20025500023Item do Pedido 00023 e valor: R$ 0,00             0000000,00
20025600023Item do Pedido 00023 e valor: R$ 0,00             0000000,00
20025700023Item do Pedido 00023 e valor: R$ 0,00             0000000,00
20025800023Item do Pedido 00023 e valor: R$ 0,00             0000000,00
100024Pedido de Compra em 03/12/2019 com 11 itens201912031855270000051,00E
20025900024Item do Pedido 00024 e valor: R$ 30,00            0000030,00
20026000024Item do Pedido 00024 e valor: R$ 19,00            0000019,00
20026100024Item do Pedido 00024 e valor: R$ 2,00             0000002,00
20026200024Item do Pedido 00024 e valor: R$ 0,00             0000000,00
20026300024Item do Pedido 00024 e valor: R$ 0,00             0000000,00
20026400024Item do Pedido 00024 e valor: R$ 0,00             0000000,00
20026500024Item do Pedido 00024 e valor: R$ 0,00             0000000,00
20026600024Item do Pedido 00024 e valor: R$ 0,00             0000000,00
20026700024Item do Pedido 00024 e valor: R$ 0,00             0000000,00
20026800024Item do Pedido 00024 e valor: R$ 0,00             0000000,00
20026900024Item do Pedido 00024 e valor: R$ 0,00             0000000,00
20027000024Item do Pedido 00024 e valor: R$ 0,00             0000000,00
100025Pedido de Compra em 03/12/2019 com 11 itens201912031855270000093,00E
20027100025Item do Pedido 00025 e valor: R$ 32,00            0000032,00
20027200025Item do Pedido 00025 e valor: R$ 5,00             0000005,00
20027300025Item do Pedido 00025 e valor: R$ 55,00            0000055,00
20027400025Item do Pedido 00025 e valor: R$ 1,00             0000001,00
20027500025Item do Pedido 00025 e valor: R$ 0,00             0000000,00
20027600025Item do Pedido 00025 e valor: R$ 0,00             0000000,00
20027700025Item do Pedido 00025 e valor: R$ 0,00             0000000,00
20027800025Item do Pedido 00025 e valor: R$ 0,00             0000000,00
20027900025Item do Pedido 00025 e valor: R$ 0,00             0000000,00
20028000025Item do Pedido 00025 e valor: R$ 0,00             0000000,00
20028100025Item do Pedido 00025 e valor: R$ 0,00             0000000,00
20028200025Item do Pedido 00025 e valor: R$ 0,00             0000000,00
100026Pedido de Compra em 03/12/2019 com 11 itens201912031855270000154,00E
20028300026Item do Pedido 00026 e valor: R$ 123,00           0000123,00
20028400026Item do Pedido 00026 e valor: R$ 5,00             0000005,00
20028500026Item do Pedido 00026 e valor: R$ 7,00             0000007,00
20028600026Item do Pedido 00026 e valor: R$ 17,00            0000017,00
20028700026Item do Pedido 00026 e valor: R$ 1,00             0000001,00
20028800026Item do Pedido 00026 e valor: R$ 1,00             0000001,00
20028900026Item do Pedido 00026 e valor: R$ 0,00             0000000,00
20029000026Item do Pedido 00026 e valor: R$ 0,00             0000000,00
20029100026Item do Pedido 00026 e valor: R$ 0,00             0000000,00
20029200026Item do Pedido 00026 e valor: R$ 0,00             0000000,00
20029300026Item do Pedido 00026 e valor: R$ 0,00             0000000,00
20029400026Item do Pedido 00026 e valor: R$ 0,00             0000000,00
100027Pedido de Compra em 03/12/2019 com 11 itens201912031855270000149,00E
20029500027Item do Pedido 00027 e valor: R$ 84,00            0000084,00
20029600027Item do Pedido 00027 e valor: R$ 14,00            0000014,00
20029700027Item do Pedido 00027 e valor: R$ 24,00            0000024,00
20029800027Item do Pedido 00027 e valor: R$ 16,00            0000016,00
20029900027Item do Pedido 00027 e valor: R$ 7,00             0000007,00
20030000027Item do Pedido 00027 e valor: R$ 1,00             0000001,00
20030100027Item do Pedido 00027 e valor: R$ 2,00             0000002,00
20030200027Item do Pedido 00027 e valor: R$ 1,00             0000001,00
20030300027Item do Pedido 00027 e valor: R$ 0,00             0000000,00
20030400027Item do Pedido 00027 e valor: R$ 0,00             0000000,00
20030500027Item do Pedido 00027 e valor: R$ 0,00             0000000,00
20030600027Item do Pedido 00027 e valor: R$ 0,00             0000000,00
100028Pedido de Compra em 03/12/2019 com 11 itens201912031855270000017,00E
20030700028Item do Pedido 00028 e valor: R$ 15,00            0000015,00
20030800028Item do Pedido 00028 e valor: R$ 2,00             0000002,00
20030900028Item do Pedido 00028 e valor: R$ 0,00             0000000,00
20031000028Item do Pedido 00028 e valor: R$ 0,00             0000000,00
20031100028Item do Pedido 00028 e valor: R$ 0,00             0000000,00
20031200028Item do Pedido 00028 e valor: R$ 0,00             0000000,00
20031300028Item do Pedido 00028 e valor: R$ 0,00             0000000,00
20031400028Item do Pedido 00028 e valor: R$ 0,00             0000000,00
20031500028Item do Pedido 00028 e valor: R$ 0,00             0000000,00
20031600028Item do Pedido 00028 e valor: R$ 0,00             0000000,00
20031700028Item do Pedido 00028 e valor: R$ 0,00             0000000,00
20031800028Item do Pedido 00028 e valor: R$ 0,00             0000000,00
100029Pedido de Compra em 03/12/2019 com 11 itens201912031855270000119,00E
20031900029Item do Pedido 00029 e valor: R$ 110,00           0000110,00
20032000029Item do Pedido 00029 e valor: R$ 1,00             0000001,00
20032100029Item do Pedido 00029 e valor: R$ 1,00             0000001,00
20032200029Item do Pedido 00029 e valor: R$ 2,00             0000002,00
20032300029Item do Pedido 00029 e valor: R$ 4,00             0000004,00
20032400029Item do Pedido 00029 e valor: R$ 1,00             0000001,00
20032500029Item do Pedido 00029 e valor: R$ 0,00             0000000,00
20032600029Item do Pedido 00029 e valor: R$ 0,00             0000000,00
20032700029Item do Pedido 00029 e valor: R$ 0,00             0000000,00
20032800029Item do Pedido 00029 e valor: R$ 0,00             0000000,00
20032900029Item do Pedido 00029 e valor: R$ 0,00             0000000,00
20033000029Item do Pedido 00029 e valor: R$ 0,00             0000000,00
100030Pedido de Compra em 03/12/2019 com 11 itens201912031855270000008,00E
20033100030Item do Pedido 00030 e valor: R$ 4,00             0000004,00
20033200030Item do Pedido 00030 e valor: R$ 2,00             0000002,00
20033300030Item do Pedido 00030 e valor: R$ 1,00             0000001,00
20033400030Item do Pedido 00030 e valor: R$ 1,00             0000001,00
20033500030Item do Pedido 00030 e valor: R$ 0,00             0000000,00
20033600030Item do Pedido 00030 e valor: R$ 0,00             0000000,00
20033700030Item do Pedido 00030 e valor: R$ 0,00             0000000,00
20033800030Item do Pedido 00030 e valor: R$ 0,00             0000000,00
20033900030Item do Pedido 00030 e valor: R$ 0,00             0000000,00
20034000030Item do Pedido 00030 e valor: R$ 0,00             0000000,00
20034100030Item do Pedido 00030 e valor: R$ 0,00             0000000,00
20034200030Item do Pedido 00030 e valor: R$ 0,00             0000000,00
100031Pedido de Compra em 02/12/2019 com 2 itens201912021855270000008,00E
20034300031Item do Pedido 00031 e valor: R$ 7,00             0000007,00
20034400031Item do Pedido 00031 e valor: R$ 1,00             0000001,00
20034500031Item do Pedido 00031 e valor: R$ 0,00             0000000,00
100032Pedido de Compra em 02/12/2019 com 2 itens201912021855270000185,00E
20034600032Item do Pedido 00032 e valor: R$ 56,00            0000056,00
20034700032Item do Pedido 00032 e valor: R$ 19,00            0000019,00
20034800032Item do Pedido 00032 e valor: R$ 45,00            0000045,00
100033Pedido de Compra em 02/12/2019 com 2 itens201912021855270000162,00E
20034900033Item do Pedido 00033 e valor: R$ 44,00            0000044,00
20035000033Item do Pedido 00033 e valor: R$ 44,00            0000044,00
20035100033Item do Pedido 00033 e valor: R$ 29,00            0000029,00
100034Pedido de Compra em 02/12/2019 com 2 itens201912021855270000091,00E
20035200034Item do Pedido 00034 e valor: R$ 6,00             0000006,00
20035300034Item do Pedido 00034 e valor: R$ 10,00            0000010,00
20035400034Item do Pedido 00034 e valor: R$ 38,00            0000038,00
100035Pedido de Compra em 02/12/2019 com 2 itens201912021855270000129,00E
20035500035Item do Pedido 00035 e valor: R$ 66,00            0000066,00
20035600035Item do Pedido 00035 e valor: R$ 23,00            0000023,00
20035700035Item do Pedido 00035 e valor: R$ 35,00            0000035,00
100036Pedido de Compra em 02/12/2019 com 2 itens201912021855270000016,00E
20035800036Item do Pedido 00036 e valor: R$ 5,00             0000005,00
20035900036Item do Pedido 00036 e valor: R$ 8,00             0000008,00
20036000036Item do Pedido 00036 e valor: R$ 3,00             0000003,00
100037Pedido de Compra em 02/12/2019 com 2 itens201912021855270000004,00E
20036100037Item do Pedido 00037 e valor: R$ 2,00             0000002,00
20036200037Item do Pedido 00037 e valor: R$ 1,00             0000001,00
20036300037Item do Pedido 00037 e valor: R$ 1,00             0000001,00
100038Pedido de Compra em 02/12/2019 com 2 itens201912021855270000017,00E
20036400038Item do Pedido 00038 e valor: R$ 2,00             0000002,00
20036500038Item do Pedido 00038 e valor: R$ 2,00             0000002,00
20036600038Item do Pedido 00038 e valor: R$ 13,00            0000013,00
100039Pedido de Compra em 02/12/2019 com 2 itens201912021855270000075,00E
20036700039Item do Pedido 00039 e valor: R$ 34,00            0000034,00
20036800039Item do Pedido 00039 e valor: R$ 21,00            0000021,00
20036900039Item do Pedido 00039 e valor: R$ 15,00            0000015,00
100040Pedido de Compra em 02/12/2019 com 2 itens201912021855270000070,00E
20037000040Item do Pedido 00040 e valor: R$ 23,00            0000023,00
20037100040Item do Pedido 00040 e valor: R$ 43,00            0000043,00
20037200040Item do Pedido 00040 e valor: R$ 4,00             0000004,00
100041Pedido de Compra em 02/12/2019 com 2 itens201912021855270000121,00E
20037300041Item do Pedido 00041 e valor: R$ 103,00           0000103,00
20037400041Item do Pedido 00041 e valor: R$ 17,00            0000017,00
20037500041Item do Pedido 00041 e valor: R$ 1,00             0000001,00
100042Pedido de Compra em 02/12/2019 com 2 itens201912021855270000187,00E
20037600042Item do Pedido 00042 e valor: R$ 179,00           0000179,00
20037700042Item do Pedido 00042 e valor: R$ 5,00             0000005,00
